[0.99  0.003 0.003 0.003]
327 	 [1.755 0.006 0.006 0.006]
328 	 [1.755 0.006 0.006 0.005]
329 	 [1.755 0.006 0.006 0.005]
330 	 [1.755 0.006 0.006 0.005]
331 	 [1.755 0.006 0.006 0.005]
332 	 [1.755 0.006 0.006 0.007]
333 	 [1.755 0.006 0.006 0.006]
334 	 [1.755 0.006 0.006 0.005]
335 	 [1.755 0.006 0.006 0.005]
336 	 [1.755 0.006 0.006 0.006]
337 	 [1.755 0.006 0.006 0.006]
338 	 [1.755 0.006 0.006 0.005]
339 	 [1.755 0.006 0.006 0.005]
340 	 [1.755 0.006 0.006 0.006]
341 	 [1.755 0.006 0.006 0.006]
342 	 [1.755 0.006 0.006 0.006]
343 	 [1.755 0.006 0.006 0.005]
344 	 [1.755 0.006 0.006 0.007]
345 	 [1.755 0.006 0.006 0.007]
346 	 [1.755 0.006 0.006 0.006]
347 	 [1.755 0.006 0.006 0.005]
348 	 [1.755 0.006 0.006 0.005]
349 	 [1.755 0.006 0.006 0.006]
350 	 [1.755 0.006 0.006 0.005]
351 	 [1.755 0.006 0.006 0.006]
352 	 [1.755 0.006 0.006 0.005]
353 	 [1.755 0.006 0.006 0.009]
354 	 [1.755 0.006 0.006 0.005]
355 	 [1.755 0.006 0.006 0.006]
356 	 [1.755 0.006 0.006 0.006]
357 	 [1.755 0.006 0.006 0.005]
358 	 [1.755 0.006 0.006 0.005]
359 	 [1.755 0.006 0.006 0.007]
360 	 [1.755 0.006 0.006 0.007]
361 	 [1.755 0.006 0.006 0.006]
362 	 [1.755 0.006 0.006 0.006]
363 	 [1.755 0.006 0.006 0.006]
364 	 [1.755 0.006 0.006 0.006]
365 	 [1.755 0.006 0.006 0.006]
366 	 [1.755 0.006 0.006 0.005]
367 	 [1.755 0.006 0.006 0.006]
368 	 [1.755 0.006 0.006 0.006]
369 	 [1.755 0.006 0.006 0.006]
370 	 [1.755 0.006 0.006 0.006]
371 	 [1.755 0.006 0.006 0.005]
372 	 [1.755 0.006 0.006 0.007]
373 	 [1.755 0.006 0.006 0.006]
374 	 [1.755 0.006 0.006 0.005]
375 	 [1.755 0.006 0.007 0.023]
376 	 [1.755 0.006 0.006 0.007]
377 	 [1.755 0.006 0.006 0.006]
378 	 [1.755 0.006 0.006 0.006]
379 	 [1.755 0.006 0.006 0.005]
380 	 [1.755 0.006 0.006 0.005]
381 	 [1.755 0.006 0.006 0.005]
382 	 [1.755 0.006 0.006 0.006]
383 	 [1.755 0.006 0.006 0.006]
384 	 [1.755 0.006 0.006 0.006]
385 	 [1.755 0.006 0.006 0.005]
386 	 [1.755 0.006 0.006 0.005]
387 	 [1.755 0.006 0.006 0.006]
388 	 [1.755 0.006 0.006 0.006]
389 	 [1.755 0.006 0.006 0.007]
390 	 [1.755 0.006 0.006 0.007]
391 	 [1.755 0.006 0.006 0.006]
392 	 [1.755 0.006 0.006 0.006]
393 	 [1.755 0.006 0.006 0.005]
394 	 [1.755 0.006 0.006 0.005]
395 	 [1.755 0.006 0.006 0.007]
396 	 [1.755 0.006 0.006 0.005]
397 	 [1.755 0.006 0.006 0.005]
398 	 [1.755 0.006 0.006 0.006]
399 	 [1.755 0.006 0.006 0.006]
400 	 [1.755 0.006 0.006 0.006]
401 	 [1.755 0.006 0.006 0.006]
402 	 [1.755 0.006 0.006 0.005]
403 	 [1.755 0.006 0.006 0.005]
404 	 [1.755 0.006 0.006 0.005]
405 	 [1.755 0.006 0.006 0.006]
406 	 [1.755 0.006 0.006 0.006]
407 	 [1.755 0.006 0.006 0.006]
408 	 [1.755 0.006 0.006 0.006]
409 	 [1.755 0.006 0.006 0.006]
410 	 [1.755 0.006 0.006 0.005]
411 	 [1.755 0.006 0.006 0.006]
412 	 [1.755 0.006 0.006 0.005]
413 	 [1.755 0.006 0.006 0.007]
414 	 [1.755 0.006 0.006 0.005]
415 	 [1.755 0.006 0.006 0.006]
416 	 [1.755 0.006 0.006 0.007]
417 	 [1.755 0.006 0.006 0.006]
418 	 [1.755 0.006 0.006 0.006]
419 	 [1.755 0.006 0.006 0.005]
420 	 [1.755 0.006 0.006 0.006]
421 	 [1.755 0.006 0.006 0.006]
422 	 [1.755 0.006 0.006 0.01 ]
423 	 [1.755 0.006 0.006 0.005]
424 	 [1.755 0.006 0.006 0.005]
425 	 [1.755 0.006 0.006 0.005]
426 	 [1.755 0.006 0.006 0.006]
427 	 [1.755 0.006 0.006 0.005]
428 	 [1.755 0.006 0.006 0.007]
429 	 [1.755 0.006 0.006 0.005]
430 	 [1.755 0.006 0.006 0.005]
431 	 [1.755 0.006 0.006 0.006]
432 	 [1.755 0.006 0.006 0.005]
433 	 [1.755 0.006 0.006 0.005]
434 	 [1.755 0.006 0.006 0.009]
435 	 [1.755 0.006 0.006 0.005]
436 	 [1.755 0.006 0.006 0.006]
437 	 [1.755 0.006 0.006 0.005]
438 	 [1.755 0.006 0.006 0.006]
439 	 [1.755 0.006 0.006 0.005]
440 	 [1.755 0.006 0.006 0.006]
441 	 [1.755 0.006 0.006 0.005]
442 	 [1.755 0.006 0.006 0.007]
443 	 [1.755 0.006 0.006 0.006]
444 	 [1.755 0.006 0.006 0.006]
445 	 [1.755 0.006 0.006 0.006]
446 	 [1.755 0.006 0.006 0.006]
447 	 [1.755 0.006 0.006 0.006]
448 	 [1.755 0.006 0.006 0.005]
449 	 [1.755 0.006 0.006 0.007]
450 	 [1.755 0.006 0.006 0.005]
451 	 [1.755 0.006 0.006 0.005]
452 	 [1.755 0.006 0.011 0.616]
453 	 [1.755 0.006 0.006 0.006]
454 	 [1.755 0.006 0.006 0.005]
455 	 [1.755 0.006 0.006 0.006]
456 	 [1.755 0.006 0.006 0.007]
457 	 [1.755 0.006 0.006 0.005]
458 	 [1.755 0.006 0.006 0.005]
459 	 [1.755 0.006 0.006 0.005]
460 	 [1.755 0.006 0.006 0.006]
461 	 [1.755 0.006 0.006 0.005]
462 	 [1.755 0.006 0.006 0.006]
463 	 [1.755 0.006 0.006 0.006]
464 	 [1.755 0.006 0.006 0.006]
465 	 [1.755 0.006 0.006 0.006]
466 	 [1.755 0.006 0.006 0.005]
467 	 [1.755 0.006 0.006 0.006]
468 	 [1.755 0.006 0.006 0.005]
469 	 [1.755 0.006 0.006 0.005]
470 	 [1.755 0.006 0.006 0.005]
471 	 [1.755 0.006 0.006 0.008]
472 	 [1.755 0.006 0.006 0.005]
473 	 [1.755 0.006 0.006 0.005]
474 	 [1.755 0.006 0.006 0.006]
475 	 [1.755 0.006 0.006 0.006]
476 	 [1.755 0.006 0.006 0.006]
477 	 [1.755 0.006 0.006 0.006]
478 	 [1.755 0.006 0.006 0.005]
479 	 [1.755 0.006 0.006 0.005]
480 	 [1.755 0.006 0.006 0.006]
481 	 [1.755 0.006 0.006 0.005]
482 	 [1.755 0.006 0.006 0.005]
483 	 [1.755 0.006 0.006 0.005]
484 	 [1.755 0.006 0.006 0.007]
485 	 [1.755 0.006 0.006 0.005]
486 	 [1.755 0.006 0.006 0.006]
487 	 [1.755 0.006 0.006 0.006]
488 	 [1.755 0.006 0.006 0.005]
489 	 [1.755 0.006 0.006 0.005]
